ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778517242,64,1028,45,15.23,0,2.39,10.4,90.0,120
1778517244,18,10735,47,50.14,0,2.39,11.2,89.9,120
1778517246,14,10735,46,35.60,0,2.39,9.8,89.8,120
1778517248,13,10735,47,35.01,0,2.43,9.5,89.8,120
1778517250,90,10747,58,169.66,0,2.43,9.4,89.8,120
1778517253,89,10747,59,176.00,0,2.32,10.7,90.0,120
1778517255,89,10747,60,176.91,0,2.32,11.4,90.1,120
1778517257,4,10747,52,96.62,0,2.21,11.9,90.0,120
1778517259,90,10747,61,179.64,0,2.21,11.4,89.8,120
1778517261,3,10747,54,152.33,30,2.21,10.6,89.6,120
