ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778517273,26,10747,46,15.83,30,2.02,9.8,89.8,120
1778517276,4,1426,46,28.77,30,2.02,12.1,89.9,120
1778517278,24,11207,47,50.81,30,1.94,9.9,89.8,120
1778517280,16,11207,46,36.23,30,1.94,10.3,90.0,120
1778517282,17,11211,49,71.08,30,1.79,10.6,90.0,120
1778517284,34,11211,46,64.01,30,1.79,11.8,90.1,120
1778517286,22,11211,47,73.16,30,1.79,11.5,89.8,120
1778517288,36,11211,46,44.22,30,1.80,17.7,90.1,120
1778517290,79,11211,46,52.61,30,1.80,10.1,90.1,120
1778517292,22,11211,47,75.27,30,1.82,10.5,90.1,120
1778517294,29,11211,45,43.89,30,1.82,9.6,90.0,120
1778517297,42,11211,44,43.89,30,1.83,10.1,90.1,120
1778517299,23,11211,45,58.82,30,1.83,11.2,90.3,120
1778517301,5,11211,43,37.62,30,1.83,13.0,90.2,120
1778517303,59,11211,48,122.64,30,1.77,11.2,90.2,120
1778517305,25,11211,46,75.86,30,1.77,11.0,90.2,120
1778517307,43,11211,44,43.95,30,1.62,11.1,90.0,120
1778517309,6,11211,42,33.21,30,1.62,12.2,90.3,120
1778517311,24,11211,47,120.36,30,1.62,9.1,90.0,120
1778517313,37,11211,45,64.74,30,1.57,10.7,89.9,120
1778517315,92,11211,52,74.42,30,1.57,13.8,89.9,120
1778517318,25,11211,46,73.74,30,1.69,15.2,89.8,120
1778517320,5,11211,42,39.96,30,1.69,12.3,89.4,120
1778517322,37,11211,43,45.52,30,1.63,12.8,89.1,120
1778517324,40,11211,43,43.02,30,1.63,12.4,89.5,120
1778517326,6,11211,41,34.40,30,1.63,11.6,89.4,120
1778517328,96,11211,52,95.97,30,1.66,11.7,89.4,120
1778517330,40,11211,42,57.14,30,1.66,12.4,89.3,120
