ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778517343,29,11211,40,14.30,0,1.66,11.2,89.1,120
1778517345,28,10483,42,42.25,0,1.66,12.6,89.3,120
1778517347,29,10483,41,40.76,0,1.76,12.6,89.2,120
1778517349,97,10489,54,203.10,0,1.76,12.9,89.4,120
1778517351,97,10489,56,204.25,0,1.76,11.1,89.3,120
1778517353,96,10489,57,205.05,0,1.62,10.3,89.4,120
1778517355,96,10489,58,208.62,30,1.62,14.8,89.4,120
1778517357,97,10489,59,206.90,30,1.62,11.8,89.5,120
1778517359,96,10489,59,207.57,30,1.81,10.8,89.5,120
1778517361,97,10489,60,208.47,30,1.81,11.2,89.5,120
1778517363,97,10489,61,208.05,30,1.75,12.4,89.5,120
1778517365,4,10489,49,48.67,30,1.75,13.5,89.5,120
1778517367,98,10489,63,167.21,30,2.17,11.4,89.5,120
1778517369,97,10489,61,209.69,30,2.17,13.5,89.7,120
1778517371,97,10489,61,210.71,30,2.17,13.4,89.5,120
1778517373,97,10489,61,204.23,30,2.07,10.8,89.4,120
