ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778517476,60,10489,43,14.87,0,1.47,10.0,89.1,120
1778517478,69,10733,44,36.84,0,1.51,10.3,89.2,120
1778517480,15,10735,45,47.92,0,1.51,9.3,89.2,120
1778517482,13,10735,44,34.81,0,1.63,9.5,89.2,120
1778517484,87,10745,51,73.17,0,1.63,18.6,89.4,120
1778517486,90,10745,56,174.55,0,1.63,9.5,89.3,120
1778517489,90,10745,57,175.93,0,1.58,10.0,89.3,120
1778517491,90,10745,58,116.39,0,1.58,9.8,89.3,120
1778517493,91,10745,59,178.91,0,1.53,9.6,89.4,120
1778517495,90,10745,60,180.82,30,1.53,9.4,89.2,120
1778517497,3,10745,51,80.08,30,1.53,13.3,89.2,120
1778517499,90,10747,60,180.11,30,1.65,10.3,89.3,120
1778517501,89,10747,61,180.38,30,1.65,10.9,89.2,120
1778517503,89,10747,61,180.78,30,1.52,8.6,89.2,120
1778517505,90,10747,61,180.73,30,1.52,9.3,89.3,120
1778517507,90,10747,62,181.35,30,1.39,8.2,89.1,120
