ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778517520,29,10747,46,15.49,30,1.72,9.0,89.4,120
1778517522,17,11205,47,41.83,30,1.72,9.7,89.2,120
1778517524,27,11207,46,43.51,30,1.98,11.2,89.5,120
1778517526,4,11207,45,34.61,30,1.98,14.1,89.5,120
1778517528,24,11211,48,74.52,30,2.06,10.1,89.2,120
1778517530,92,11211,54,59.52,30,2.06,10.9,89.2,120
1778517532,22,11211,47,76.37,30,2.06,15.1,89.9,120
1778517534,100,11211,50,37.15,30,2.06,18.0,90.4,120
1778517536,22,11211,47,76.82,30,2.06,10.9,90.0,120
1778517538,92,11211,55,59.13,30,1.97,11.1,90.1,120
1778517540,22,11211,47,75.53,30,1.97,10.1,90.1,120
1778517543,32,11211,44,42.66,30,1.90,9.9,90.2,120
1778517545,43,11211,45,42.80,30,1.90,11.5,90.2,120
