ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778517558,29,11424,41,14.54,0,2.36,11.9,90.1,120
1778517560,30,10483,43,48.54,0,2.36,11.6,90.0,120
1778517562,100,10483,51,52.40,0,2.33,12.3,90.1,120
1778517564,97,10489,57,205.10,0,2.33,11.0,90.2,120
1778517566,96,10489,58,205.64,0,2.33,10.7,89.9,120
1778517568,97,10489,59,207.01,0,2.39,10.6,89.9,120
1778517570,97,10489,60,209.51,30,2.39,10.6,89.9,120
1778517572,97,10489,60,208.34,30,2.19,11.1,90.1,120
1778517574,96,10489,61,209.26,30,2.19,10.1,90.0,120
1778517577,96,10489,62,210.11,30,2.19,11.5,89.9,120
1778517579,96,10489,62,210.45,30,2.10,10.7,90.1,120
1778517581,97,10489,62,210.38,30,2.10,12.4,90.1,120
1778517583,97,10489,63,210.68,30,2.01,11.1,90.1,120
1778517585,97,10489,63,210.91,31,2.01,11.5,90.3,120
1778517587,96,10489,63,211.63,31,2.01,11.2,90.2,120
1778517589,96,10489,64,212.02,32,1.93,18.1,90.4,120
1778517591,4,10489,55,172.18,33,1.93,12.6,90.1,120
1778517593,65,10489,54,45.57,34,2.01,11.8,90.1,120
1778517595,97,10489,63,213.01,34,2.01,10.4,90.2,120
1778517597,97,10489,64,212.41,34,2.01,10.4,90.0,120
